** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,8
large-town.txt,2255053,50000,39
city.txt,4511688,100000,76
large-city.txt,22554540,500000,574
metropolis.txt,45107513,1000000,1449
capital.txt,90209834,2000000,3292
megalopolis.txt,227564229,5000000,10581
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,9
large-town.txt,2255053,50000,49
city.txt,4511688,100000,106
large-city.txt,22554540,500000,626
metropolis.txt,45107513,1000000,1163
capital.txt,90209834,2000000,2021
megalopolis.txt,227564229,5000000,5631
