** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,8
town.txt,451617,10000,30
large-town.txt,2255053,50000,207
city.txt,4511688,100000,349
large-city.txt,22554540,500000,1984
metropolis.txt,45107513,1000000,4730
capital.txt,90209834,2000000,11042
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,2
town.txt,451617,10000,28
large-town.txt,2255053,50000,179
city.txt,4511688,100000,326
large-city.txt,22554540,500000,1975
metropolis.txt,45107513,1000000,4590
capital.txt,90209834,2000000,11388
